word,gramatica,defini,de,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,gl,he,mt,ru
boca,nom anatomia,la abri en la parte basa de la fas umana,Mund,mouth (anatomy,NA,boca,bouche,NA,NA,NA,NA,NA,NA,NA,NA,NA,mund,NA,he: פה; פתח,NA,NA
borda,nom,NA,Rand,edge,NA,NA,bord,NA,NA,NA,NA,NA,NA,NA,NA,NA,kant,NA,he: גבול,NA,NA
bote,nom util,un contenador metal silindre,Büchse,can,NA,lata,bidon,NA,NA,NA,NA,NA,NA,NA,NA,NA,dåse,NA,he: פחית,NA,NA
bove,nom mamal,un mamal domada grande,Kuh,ox,NA,ganado,bovin,NA,NA,NA,NA,Bos,NA,NA,NA,NA,ko,NA,he: פרה,NA,NA
braso,nom anatomia,cada de la du membros superior de la corpo umana,Arm,arm,NA,brazo,bras,NA,NA,NA,NA,NA,NA,NA,NA,NA,arm,NA,he: זרוע,NA,NA
brosa,nom util,un util con manico,Bürste,brush,NA,cepillo,brosse,NA,NA,NA,NA,NA,NA,NA,NA,NA,børste,NA,he: מברשת,NA,NA
campa,nom,NA,Lager,camping; camp,NA,campamento,camp,NA,NA,NA,NA,NA,NA,NA,NA,NA,lejr,campamento,he: מחנה; מחנאות,NA,NA
canaba,nom planta,un planta alta con tronceta rijida e vertical e folias divideda e sierin; la fibre de esta,Hanf,hemp,NA,cáñamo,chanvre,NA,NA,NA,NA,Cannabis sativa,NA,NA,NA,NA,hamp,marihuana,he: קנאביס (צמח); מריחואנה,NA,NA
capel,nom biolojia,cada de la filos magra cual crese de la scalpo de umanas,Haar,hair (of the scalp,NA,cabello,cheveu,NA,NA,NA,NA,NA,NA,NA,NA,NA,hår,NA,he: שערה,NA,NA
caro,nom veculo,un veculo con rotas ma sin motor,Karren,coach,NA,carro,chariot,NA,NA,NA,NA,NA,NA,NA,NA,NA,vogn,NA,he: עגלה,NA,NA
cimica,nom cimica,la siensa cual studia la sustantias de cual materia es composada,Chemie,chemistry,NA,química,chimie,NA,NA,NA,NA,NA,NA,NA,NA,NA,kemi,NA,he: כימיה,NA,NA
colpa,nom,NA,Schlag,hit,NA,golpe,coup,NA,NA,NA,NA,NA,NA,NA,NA,NA,slag,NA,he: מכה,NA,NA
come,nom,NA,Mahlzeit,meal,NA,comida (ocasión para comer),repas,NA,NA,NA,NA,NA,NA,NA,NA,NA,måltid,NA,he: ארוחה,NA,NA
compromete,nom,NA,Kompromiss,compromise,NA,compromiso,compromis,NA,NA,NA,NA,NA,NA,NA,NA,NA,kompromis,NA,he: פשרה,NA,NA
corpo,nom anatomia,la strutur fisical de un person o animal,Körper,body (person,NA,cuerpo,corps (personne,NA,NA,NA,NA,NA,NA,NA,NA,NA,krop,NA,he: גוף; גיס,NA,NA
cortina,nom arciteta,un stofa pendente cual covre o scermi,Vorhang,curtain,NA,cortina,rideau,NA,NA,NA,NA,NA,NA,NA,NA,NA,gardin,NA,he: וילון,NA,NA
cosa,nom,cualce ojeto o conseta cual esiste o pote es pensada,Ding,thing,NA,cosa,chose,NA,NA,NA,NA,NA,NA,NA,NA,NA,ting,NA,he: דבר,NA,NA
coton,nom planta veste,un planta usada xef per fibre e stofa; un materia mol,Watte,cotton (plant,NA,algodón,coton,NA,NA,NA,NA,Gossypium,NA,NA,NA,NA,bomuld,NA,he: כותנה,NA,NA
cravata,nom veste,un banda de stofa portada sirca la colo e nodada a la fronte con sua finis pendente,Krawatte,necktie,NA,corbata,cravate,NA,NA,NA,NA,NA,NA,NA,NA,NA,slips,NA,he: עניבה,NA,NA
creta,nom util,un calcario blanca e mol,Kreide,chalk,NA,tiza,craie,NA,NA,NA,NA,NA,NA,NA,NA,NA,kridt,NA,he: גיר,NA,NA
cupola,nom arciteta,un teto formida de voltas,Kuppel,dome,NA,bóveda,dôme,NA,NA,NA,NA,NA,NA,NA,NA,NA,kuppel,NA,he: כיפה (גג),NA,NA
cura,nom,NA,Sorge,care,NA,NA,soin,NA,NA,NA,NA,NA,NA,NA,NA,NA,pasning,NA,he: טיפול,NA,NA
dio,nom relijio mitolojia,(en alga relijios) un spirito supraumana,Gott,god,NA,dios,dieu,NA,NA,NA,NA,NA,NA,NA,NA,NA,gud,NA,he: אלוהים,NA,NA
diton,nom,la dito prima de la mano,Daumen,thumb; inch (unit of length),NA,pulgar,pouce,NA,NA,NA,NA,NA,NA,NA,NA,NA,tommel,NA,he: אגודל; אינטש,NA,NA
dole,nom,NA,Pein,pain,NA,dolor,douleur,NA,NA,NA,NA,NA,NA,NA,NA,NA,smerte,NA,he: כאב,NA,NA
fece,nom biolojia,materia escreteda de la intestines,Mist,feces|faeces,NA,heces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,afføring,NA,NA,NA,NA
festa,nom siensa-umana relijio,un dia de recrea cuando la popla no labora; un dia de selebra,Feiertag,holiday,NA,día de fiesta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ferie,NA,NA,NA,NA
fio,nom,un person mas en relata a sua jenitores; un enfante mas,Sohn,son,NA,hijo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,søn,NA,NA,NA,NA
flexa,nom sporte,un basto,Pfeil,arrow,NA,flecha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pil,NA,NA,NA,NA
flor,nom biolojia,la parte de un planta cual conteni la semes,Blume,flower,NA,flor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blomst,NA,NA,NA,NA
foco,nom fisica util,un arde o combusta,Feuer,fire; passion,NA,fuego,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ild,NA,NA,NA,NA
fondo,nom,la surfas la plu basa de un cosa; la parte de un sena o imaje cual es tipal plu distante de la regardor e cual formi un ambiente per la atores o ojetos xef; la situa esistente cuando alga cosa aveni,Boden,bottom,NA,fondo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bund,NA,NA,NA,NA
frase,nom linguistica musica,un colie de parolas,Satz,sentence; phrase (music),NA,oración,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sætning (a ord),NA,NA,NA,NA
frate,nom siensa-umana,un umana mas en relata a otra enfantes de sua jenitores; un tipo de monce,Bruder,brother; friar,NA,hermano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bror,NA,NA,NA,NA
freno,nom util,un aparato per para o lenti un veculo movente; un aparato cual limita o preveni la libria de move,Bremse,brake,NA,freno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bremse,NA,NA,NA,NA
fuca,nom biolojia,un alge brun grande,Kelp,kelp,NA,alga,NA,NA,NA,NA,NA,Laminariales,NA,NA,NA,NA,kelp,NA,NA,NA,NA
fuma,nom cimica,un suspende vidable de carbono o otra particulas en la aira,Rauch,smoke,NA,humo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,røg,NA,NA,NA,NA
gal,nom avia,un avia domada elevada per sua ovos o carne,Huhn,chicken,NA,pollo,NA,NA,NA,NA,NA,Gallus gallus,NA,NA,NA,NA,kylling,NA,NA,NA,NA
gama,nom anatomia,cada de la membros sur cual un person o animal sta o pasea; la parte magra de un vitro,Bein,leg; stem (glass),NA,pierna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ben,NA,NA,NA,NA
gras,nom biolojia,un materia natural de olio semisolida,Fett,fat (oily animal material),NA,grasa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fedt,NA,NA,NA,NA
greve,verbo nontransitiva governa,(empleadas) refusa labora como un forma de protesta organizada,Streik,strike (protest),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,strejke,NA,NA,NA,NA
inverno,nom tera,la saison la plu fria (de desembre a marto en la emisfera norde,Winter,winter,NA,invierno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vinter,NA,NA,NA,NA
ionosfera,nom tera,la strato de la atmosfera cual conteni un consentra grande de iones e eletrones libre,Ionosphäre,ionosphere,NA,ionosfera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ionosfære,NA,NA,NA,NA
jar,nom util,un contenador silindre de vitro o seramica,Krug,jar (container),NA,jarro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,krukke,NA,NA,NA,NA
jena,nom anatomia,cada de la lados de la fas su la oio; cada de la lados de la interna de la boca,Wange,cheek,NA,mejilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kind,NA,NA,NA,NA
jeno,nom anatomia,la junta entre la coxa e la gama basa en umanas,Knie,knee,NA,rodilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,knæ,NA,NA,NA,NA
jinastia,nom,NA,Gymnastik,gymnastics,NA,gimnasia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gymnastik,NA,NA,NA,NA
jus,nom cosini,un licuida en o estraeda de frutas o vejetales; un bevida preparada de esta,Saft,juice,NA,zumo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,juice,NA,NA,NA,NA
labio,nom anatomia,un o la otra de la du partes spesa cual formi la bordas superior e inferior de la abri de la boca; un parte de la boca de alga insetos e crustaseos,Lippe,lip,NA,labio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,læbe,NA,NA,NA,NA
lago,nom tera,un area grande de acua ensircada par tera,See,lake,NA,lago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sø,NA,NA,NA,NA
lege,nom governa,un sistem de regulas reconoseda par un nasion o comunia per regula la atas de sua membros,Gesetz,law,NA,ley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lov,NA,NA,NA,NA
lima,nom util,un util con surfas ru,Feile,file (tool),NA,lima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fil (redskab),NA,NA,NA,NA
lupo,nom mamal,un carnivor savaje en familia de can,Wolf,wolf,NA,lobo,NA,NA,NA,NA,NA,Canis lupus,NA,NA,NA,NA,ulv,NA,NA,NA,NA
lus,nom fisica,la enerjia natural cual stimula la vide e fa ce cosas deveni vidable,Licht,light (illumination),NA,luz,NA,NA,No usa `lus` per dise `lampa`.,NA,NA,NA,NA,NA,NA,NA,lys,NA,NA,NA,NA
madre,nom siensa-umana,un fem o animal fema en relata a un enfante o enfantes ci el ia pari; un fem o animal fema ci cura un enfante o enfantes en la mesma modo,Mutter,mother,NA,madre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mor,NA,NA,NA,NA
martel,nom util,un util con testa metal pesosa,Hammer,hammer,NA,martillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hammer,NA,NA,NA,NA
media,nom,NA,Mitte,middle,NA,medio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mente,nom siensa-umana,la parte de un person cual permete ce el persepi,Geist,mind,NA,mente,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sind,NA,NA,NA,NA
mento,nom anatomia,la parte de la fas su la boca,Kinn,chin,NA,barbilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hage,NA,NA,NA,NA
mercato,nom mone,un asembla de persones per compra e vende furnis,Markt,market,NA,mercado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marked,NA,NA,NA,NA
microscopio,nom util biolojia,un aparato otical,Mikroskop,microscope,NA,microscopio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mikroskop,NA,NA,NA,NA
mobilas,nom plural,NA,Möbel,furniture,NA,muebles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,møbel,NA,NA,NA,NA
model,nom,NA,Muster,model,NA,patrón,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mønster,NA,NA,NA,NA
molin,nom util arciteta anatomia,un aparato per mole gran o otra cosas; un construida conteninte xef un tal aparato; un parte musculosa de la stomaco de un avia,Mühle,mill; gizzard,NA,molino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mølle,NA,NA,NA,NA
mone,nom mone,un media de intercambia cual ave la forma de pesos de metal impresada o paperes prometente de un banco sentral,Geld,money,NA,dinero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,penge,NA,NA,NA,NA
moneta,nom,NA,Münze,coin,NA,moneda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mønt,NA,NA,NA,NA
mur,nom arciteta,un lado vertical de un construida o sala; un strutur vertical e continuante de brices o petras cual ensirca o divide un area de tera; alga cosa usada como un parador per proteje o restrinje,Wand,wall; bulkhead (ship),NA,pared,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,væg,NA,NA,NA,NA
note,nom,la periodo de oscuria en cada 24 oras; la tempo entre la reposa de sol e la leva de sol,Nacht,night,NA,noche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nat,NA,NA,NA,NA
nube,nom tera,un masa vidable de vapor condensada de acua,Wolke,cloud,NA,nube,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sky,NA,NA,NA,NA
odor,nom biolojia,un cualia olable,Duft,smell,NA,olor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lugt,NA,NA,NA,NA
oio,nom anatomia,cada de la du organos sfera en la testa,Auge,eye,NA,oir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,øje,NA,NA,NA,NA
om,nom siensa-umana,un umana adulte mas; (nonformal) un sposo,Mann,man; guy,NA,hombre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mand,NA,NA,NA,NA
osidi,nom,NA,Rost,rust,NA,moho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rust,NA,NA,NA,NA
oso,nom anatomia,cada de la pesos de texeda dur e blancin cual composa la sceleto de umanas e otra vertebratos; la materia estas es composada,Bein,bone,NA,hueso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ben,NA,NA,NA,NA
ovea,nom mamal cosini,un mamal domada e remasticante,Schaf,sheep,NA,ovejas,NA,NA,NA,NA,NA,Ovis aries,NA,NA,NA,NA,får,NA,NA,NA,NA
paje,nom informatica,un lado de un folia de paper en un colie como un libro o jornal; un presenta simil,Seite,page,NA,página,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,side (i et dokument),NA,NA,NA,NA
palo,nom util,un peso de lenio o metal longa,Most,pole,stango,poste,poteau,NA,NA,NA,NA,NA,NA,NA,NA,NA,stang,NA,NA,NA,NA
pan,nom cosini,un comeda preparada de farina,Brot,bread,NA,pan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brød,NA,NA,NA,NA
pede,nom anatomia,la parte la plu basa de la gama,Fuss,foot,NA,pie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fod,NA,NA,NA,NA
pel,nom anatomia,la strato magra de texeda cual formi la covrente natural esterna de la corpo de un person o animal; esta texeda,Haut,skin,NA,piel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skind,NA,NA,NA,NA
pen,nom util,un strumento de metal,Feder,pen,NA,pluma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pen,NA,NA,NA,NA
piso,nom planta cosini,un seme sfera e verde,Erbse,pea (plant,NA,guisante,NA,NA,NA,NA,NA,Pisum sativum,NA,NA,NA,NA,ært,NA,NA,NA,NA
plana,nom,NA,Ebene,plane (surface); counter,ebenaĵo,plano,plan,NA,NA,NA,NA,NA,NA,NA,NA,NA,flade,NA,NA,NA,NA
plano,nom tera,un rejion grande de tera plana sin multe arbores,Ebene,plain,ebenaĵo,llano,plaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ru: равнина
plomo,nom cimica,la elemento cimical con numero atomal 82,Blei,lead,plumbo,plomo,plomb,NA,NA,NA,NA,NA,NA,Pb (plumbum),NA,NA,bly,NA,NA,NA,NA
polalia,nom,NA,Polarität,polarity (electric,poluseco,polaridad,polarité,NA,NA,NA,NA,NA,NA,NA,NA,NA,polaritet,NA,NA,NA,NA
poma,nom planta cosini,un fruta ronda,Apfel,apple (fruit),NA,manzana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,æble,NA,NA,NA,NA
portor,nom,NA,Pförtner,porter,portisto,mozo,porteur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ru: носильщик
posteria,nom,NA,Postamt,post office,poŝtoficejo,oficina de correos,bureau de poste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ru: почта (учреждение)
pulea,nom util,un rota con borda ranurida sirca cual un corda pasa,Rolle,pulley,pulio,polea,poulie,NA,NA,NA,NA,NA,NA,NA,NA,NA,remskive,NA,NA,NA,NA
rabi,nom relijio,un erudita o ensenior iudi,Rabbiner,rabbi,rabeno,rabino,rabbin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ru: раввин
raio,nom fisica,cada de la linias en cual lus,Strahl,ray,radio; spoko; radius,rayo,rayon,NA,NA,NA,NA,NA,NA,NA,NA,NA,stråle,NA,NA,NA,NA
ren,nom anatomia,cada de du organos en la adomen de mamales,Niere,kidney,reno,riñón,rein,NA,NA,NA,NA,NA,NA,NA,NA,NA,nyre,NA,NA,NA,NA
salsa,nom cosini,un licuida densa,Soße,sauce,saŭco,salsa,sauce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ru: соус
sapon,nom util,un composada de olios o grases con idrosido de sodio o otra alcalin forte,Seife,soap,sapo,jabón,savon,NA,NA,NA,NA,NA,NA,NA,NA,NA,sæbe,NA,NA,NA,ru: мыло
seja,nom arciteta,un mobila sur cual on senta; un de la postos en un legeria,Stuhl,chair,seĝo,silla,chaise,NA,NA,NA,NA,NA,NA,NA,NA,NA,stol,NA,NA,NA,ru: стул
sejon,nom,NA,Sessel,armchair,fotelo,sillón,fauteuil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ru: кресло
sera,nom,la periodo de tempo a la fini de la dia,Abend,evening,vespero,noche,soir,NA,NA,NA,NA,NA,NA,NA,NA,NA,aften,NA,NA,NA,NA
sielo,nom tera relijio mitolojia,la atmosfera e spasio,Himmel,sky,ĉielo,cielo; paraíso,ciel,NA,NA,NA,NA,NA,NA,NA,NA,NA,himmel; paradis,NA,NA,NA,ru: небо
siera,nom util,un util per talia lenio o otra materiales,Säge,saw (tool),segilo,sierra,scie,NA,NA,NA,NA,NA,NA,NA,NA,NA,sav,NA,NA,NA,NA
simbol,nom linguistica informatica,un cosa cual representa un otra cosa,Sinnbild,symbol,simbolo,símbolo,symbole,NA,NA,NA,NA,NA,NA,NA,NA,NA,symbol,NA,NA,NA,NA
sinema,nom arte arciteta,un teatro cual mostra filmas,Kino,cinema,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,biograf,NA,NA,NA,NA
sinifia,nom,NA,Sinn,meaning,NA,significado,signification,NA,NA,NA,NA,NA,NA,NA,NA,NA,betydning,NA,NA,NA,NA
siringa,nom util medica,un tubo peti con un boceta e un piston per suca o ejeta licuida,Spritze,syringe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sprøjte,NA,NA,NA,NA
sisor,nom util,un util usada per talia stofa,Schere,scissor,tondilo,tijera(s),ciseaux,NA,NA,NA,NA,NA,NA,NA,NA,NA,saks,NA,NA,NA,NA
site,nom arciteta,un vila multe grande,Stadt,city,urbego,ciudad,ville,NA,NA,NA,NA,NA,NA,NA,la site Moscva,NA,city,NA,NA,NA,NA
sona,nom,NA,Laut,sound,sono,sonido,bruit,NA,NA,NA,NA,NA,NA,NA,NA,NA,lyd,NA,NA,NA,NA
spuma,nom,NA,Schaum,foam,ŝaŭmo,espuma,écume,NA,NA,NA,NA,NA,NA,NA,NA,NA,skum,NA,NA,NA,NA
state,nom fisica cimica,la forma o cualia de la esiste de un person o cosa a un tempo spesifada,Zustand,state (of affairs),stato,condición,condition,NA,NA,NA,NA,NA,NA,NA,NA,NA,kondition,NA,NA,NA,NA
table,nom arciteta,un mobila con surfas plana e un o plu gamas,Tisch,table (furniture); board (game); table (of information),NA,mesa,table; tableau,NA,NA,NA,NA,NA,NA,NA,NA,NA,bord,NA,NA,NA,ru: стол
telon,nom,NA,Decke,sheet,NA,hoja,nappe,NA,NA,NA,NA,NA,NA,NA,NA,NA,ark,NA,NA,NA,ru: скатерть
tempo,nom,la progresa continuante de esiste e avenis en la pasada,Zeit,time (concept,NA,tiempo,temps,NA,NA,ves,NA,NA,NA,NA,NA,NA,tid,NA,NA,NA,NA
teto,nom arciteta,la strutur cual covre la culmina de un construida o veculo; la covrente de un contenador; la nivel su sielo de un barcon,Dach,roof,tegmento; ferdeko,techo,toit; pont (de bateau),NA,NA,NA,NA,NA,NA,NA,NA,NA,tag,NA,NA,NA,ru: крыша
tipo,nom,un categoria de persones o cosas cual ave cualias comun; un spesie de letera primida o mostrada sur scermo,Art,type,NA,clase,type,NA,NA,NA,NA,NA,NA,NA,NA,NA,slags,NA,NA,NA,NA
tona,nom,NA,Donner,thunder,NA,trueno,tonnerre,NA,NA,NA,NA,NA,NA,NA,NA,NA,torden,NA,NA,NA,ru: гром
tono,nom musica,la cualia de un sona produida par un frecuentia spesifada de vibras; un sona de musica o vose; la alti e basi de la vose en parla,Tonhöhe,tone,NA,tono,ton,NA,NA,NA,NA,NA,NA,NA,NA,NA,tone,NA,NA,NA,NA
tren,nom veculo,un serie de vagones tirada como un unia par un locomotiva o par motores integrada; un serie de animales o veculos viajante en la mesma dirije,Zug,train,trajno,tren (ferrocarril),train,NA,NA,NA,NA,NA,NA,NA,NA,NA,tog,NA,NA,NA,ru: поезд
tubo,nom util,un silindre longa e vacua de metal,Rohr,tube,NA,tubo,tube,NA,NA,NA,NA,NA,NA,NA,NA,NA,rør,NA,NA,NA,NA
ungia,nom anatomia,un covrente cornin sur la surfas superior de la fini de la dito o orteo de umanas e otra animales,Nagel,nail,NA,uña,ongle,NA,NA,NA,NA,NA,NA,NA,NA,NA,negl,NA,NA,NA,ru: ноготь
urina,nom biolojia,un licuida acuin,Harn,urine,urino,orina,urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,urin,NA,NA,NA,NA
urso,nom mamal,un mamal grande e pesosa cual pote pasea sur la plantas de sua pedes,Bär,bear,urso,oso,ours,NA,NA,NA,NA,Ursidae,NA,NA,NA,NA,bjørn,NA,NA,NA,ru: медведь
Valahia,nom jeografial,un rena pasada en Europa sude-este,Walachei,Wallachia (Romanian region),NA,Valaquia (región rumana),Valachie (région roumaine),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ru: Валахия
vapor,nom fisica,un materia difusada o suspendeda en la aira,Dampf,vapor|ur,vaporo,vapor,vapeur,NA,NA,NA,NA,NA,NA,NA,NA,NA,damp,NA,NA,NA,NA
vela,nom veculo,un peso de materia estendeda sur un masto per usa la venta per propulsa un barco o otra veculo; un aparato cual catura la venta a un braso de un molin,Segel,sail,velo,vela (de barco),(une) voile,NA,NA,NA,NA,NA,NA,NA,NA,NA,sejl,NA,NA,NA,NA
venta,nom,NA,Wind,wind,vento,viento,vent,NA,NA,NA,NA,NA,NA,NA,NA,NA,vind,NA,NA,NA,ru: ветер
via,nom,un tereno usada o creada per vade o viaja,Bahn,way,NA,ruta,voie,NA,NA,NA,NA,NA,NA,NA,NA,NA,rute,NA,NA,NA,ru: путь
vista,nom tera,un vide bela,Sicht,view,NA,vista,vue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ru: вид
vive,nom,NA,Leben,life,NA,vida,vie,NA,NA,NA,NA,NA,NA,NA,NA,NA,liv,NA,NA,NA,NA
xace,nom,un jua per du persones sur un table de 64 cuadros negra e blanca; un situa en cual la re es menasada en esta jua,Schach,chess; check,ŝako,ajedrez,échecs; échec,NA,NA,NA,NA,NA,NA,NA,NA,NA,skak,NA,NA,NA,NA
xapo,nom veste,un veste per covre la testa; un paragraf de metadatos a la comensa de un fix,Hut,hat; header,ĉapelo; ĉapo,sombrero,chapeau,NA,NA,NA,NA,NA,NA,NA,NA,NA,hat,NA,NA,NA,ru: шапка
xece,nom mone,un paper cual comanda un move de mone entre du contas,Scheck,check|cheque (money),ĉeko,cheque,chèque,NA,NA,NA,NA,NA,NA,NA,NA,NA,check,NA,NA,NA,NA
Xvaben,nom jeografial,un rejion de Deutxland sude-ueste,Schwaben,Swabia (German region),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
zero,nom,la dijito 0; la punto zero en un scala,Null,zero,nulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acua,nom,la licuida cual formi la mares,Wasser,water,akvo,agua,eau,NA,NA,NA,NA,NA,NA,NA,NA,agua,vand,auga,מים,ilma,ru: вода
altia,nom,NA,Höhe,height,NA,altura,hauteur,NA,NA,NA,NA,NA,NA,NA,NA,altor,højde,NA,he: גובה,NA,NA
ambiente,nom,NA,Umwelt,surroundings,NA,ambiente,environnement,NA,NA,NA,NA,NA,NA,NA,NA,ambiente,miljø,NA,he: סביבה; אווירה,NA,NA
anca,nom anatomia,un estende de la pelvis e la femor en umanas e cuatropedes,Hüfte,hip,NA,cadera,hanche,NA,NA,NA,NA,NA,NA,NA,NA,cadril,hofte,NA,he: עצם הירך,NA,NA
anelo,ajetivo util veste,con forma de O,Ring,ring-shaped,NA,NA,annulaire,NA,NA,NA,NA,NA,NA,NA,NA,aníu,ring,NA,he: טבעתי,NA,NA
angulo,ajetivo matematica,NA,Winkel,angular,NA,NA,angulaire,NA,NA,NA,NA,NA,NA,NA,NA,ángulu,vinkel,NA,he: זוויתי,NA,NA
animal,nom,NA,Tier,animal,NA,animal,NA,NA,NA,NA,NA,NA,NA,NA,NA,animal,dyr,NA,he: חיה,NA,NA
anunsia,nom,NA,Anzeige,announcement,NA,anuncio,annonce,NA,NA,NA,NA,NA,NA,NA,NA,NA,bekendtgørelse,NA,he: הכרזה,NA,NA
arado,nom,un aparato grande de cultiva con un o plu laminas pesosa,Pflug,plow|plough,NA,arado,charrue,NA,NA,NA,NA,NA,NA,NA,NA,NA,plov,NA,he: מחרשה,NA,NA
arania,nom artropodo,un artropodo xasante,Spinne,spider,NA,araña,araignée,NA,NA,NA,NA,Araneae,NA,NA,NA,NA,ederkop,NA,he: עכביש,NA,NA
arbor,nom planta,un planta leniosa,Baum,tree,NA,árbol,arbre,NA,NA,NA,NA,NA,NA,NA,NA,NA,træ,NA,he: עץ,NA,NA
arcivo,nom informatica,un colie de informa rejistrada; un portapaper; (en un computador) un spesie de fix cual grupi otra fixes o suarcivos,Akte,record (information),NA,archivo,archive,NA,NA,NA,NA,NA,NA,NA,NA,NA,fil,NA,he: רשומה,NA,NA
area,nom,la grandia de un surfas o peso de tera; un parte de un site,Gegend,area,NA,area,superficie,NA,NA,NA,NA,NA,NA,NA,NA,NA,område,NA,he: איזור,NA,NA
arte,nom arte,la espresa o aplica de la creosia e imajina umana,Kunst,art,NA,arte,art,NA,NA,NA,NA,NA,NA,NA,NA,NA,kunst,arte,he: אמנות,NA,NA
aser,nom cimica,un aliada de fero con carbono e tipal otra elementos,Stahl,steel; frizzen (gun),NA,acero,acier,NA,NA,NA,NA,NA,NA,NA,NA,NA,stål,NA,he: פלדה,NA,NA
atende,nom,NA,Acht,attention,NA,NA,attention,NA,NA,NA,NA,NA,NA,NA,NA,NA,opmærksomhed,NA,he: תשומת לב; קשב; השגחה,NA,NA
avia,nom avia,un vertebrato oviparinte con sangue calda,Vogel,bird,NA,ave,oiseau,NA,NA,NA,NA,NA,NA,NA,NA,NA,fugl,NA,he: ציפור,NA,NA
baleta,nom,un misil metal peti,Kugel,bullet,NA,bala (munición),balle (munition),NA,NA,NA,NA,NA,NA,NA,NA,NA,kugle,NA,he: קליע,NA,NA
